timestamp,cpu_usage,mem_total,mem_available,gpu_util,gpu_mem_free,gpu_mem_used,model1,averagetime1,model2,averagetime2,model3,averagetime3,Total_Flops,Flops1,Flops2,Flops3
2025/1/7 17:42,0.0404802311514922,1081630146560,1040896184320,0,48641,35,yolov8n,0.051585681, nan,, nan,,8857548800.00 ,8857548800.00 ,0.00 ,0.00 
2025/1/7 17:45,0.0481865866485939,1081630146560,1040821977088,10,48458,218,yolov8x,0.097955705, nan,, nan,,258547251200.00 ,258547251200.00 ,0.00 ,0.00 
2025/1/7 17:48,0.048418909571806,1081630146560,1040847011840,51,48078,598,yolov8m,0.06677236, nan,, nan,,79320422400.00 ,79320422400.00 ,0.00 ,0.00 
2025/1/7 17:51,0.0468469017382291,1081630146560,1041407250432,29,48318,358,resnet18,0.011458273, nan,, nan,,1824033792.00 ,1824033792.00 ,0.00 ,0.00 
2025/1/7 17:55,0.0477653830684829,1081630146560,1041385185280,39,48188,488,resnet50,0.014736412, nan,, nan,,4133742592.00 ,4133742592.00 ,0.00 ,0.00 
2025/1/7 17:58,0.0482681525365495,1081630146560,1041385054208,52,48062,614,resnet152,0.025050936, nan,, nan,,11603945472.00 ,11603945472.00 ,0.00 ,0.00 
2025/1/7 18:01,0.0480541134167927,1081630146560,1041405620224,54,48034,642,vgg11,0.010203536, nan,, nan,,7609140224.00 ,7609140224.00 ,0.00 ,0.00 
2025/1/7 18:04,0.0470723476390288,1081630146560,1041422155776,25,48388,288,densenet121,0.023585953, nan,, nan,,2897007104.00 ,2897007104.00 ,0.00 ,0.00 
2025/1/7 18:07,0.0487492986416486,1081630146560,1040841314304,98,33014,15662,llama3,36.71008748, nan,, nan,,3842385117184.03,3842385117184.03,0.00 ,0.00 
2025/1/7 18:10,0.0488280791045522,1081630146560,1040543170560,98,33268,15408,qwen2.5,24.33292862, nan,, nan,,3619986341888.0,3619986341888.0,0.00 ,0.00 
2025/1/7 18:13,0.0478149967985294,1081630146560,1040785502208,99,30482,18194,glm4,34.21932286, nan,, nan,,4494683275264.0,4494683275264.0,0.00 ,0.00 
2025/1/7 18:16,0.0497380536178717,1081630146560,1039903068160,7,48278,400,yolov8n,0.052509763, yolov8n,0.051618429, nan,,17715097600.00 ,8857548800.00 ,8857548800.00 ,0.00 
2025/1/7 18:19,0.0558198576944686,1081630146560,1039749320704,0,48641,35,yolov8n,0.051282, yolov8x,0.09810108, nan,,267404800000.00 ,8857548800.00 ,258547251200.00 ,0.00 
2025/1/7 18:22,0.0574335266154728,1081630146560,1039845965824,73,47896,780,yolov8n,0.051124482, yolov8m,0.065787174, nan,,88177971200.00 ,8857548800.00 ,79320422400.00 ,0.00 
2025/1/7 18:25,0.0562010930941088,1081630146560,1040390918144,33,48136,540,yolov8n,0.051058055, resnet18,0.011505182, nan,,10681582592.00 ,8857548800.00 ,1824033792.00 ,0.00 
2025/1/7 18:29,0.0557570566736019,1081630146560,1040367796224,40,48006,670,yolov8n,0.051062219, resnet50,0.01488043, nan,,12991291392.00 ,8857548800.00 ,4133742592.00 ,0.00 
2025/1/7 18:32,0.0558264974179292,1081630146560,1040389521408,60,47880,796,yolov8n,0.051336978, resnet152,0.024540462, nan,,20461494272.00 ,8857548800.00 ,11603945472.00 ,0.00 
2025/1/7 18:35,0.0560938598506221,1081630146560,1040445288448,59,47852,824,yolov8n,0.051811601, vgg11,0.010155723, nan,,16466689024.00 ,8857548800.00 ,7609140224.00 ,0.00 
2025/1/7 18:38,0.0563284654949856,1081630146560,1040388087808,28,48206,470,yolov8n,0.051525757, densenet121,0.023812444, nan,,11754555904.00 ,8857548800.00 ,2897007104.00 ,0.00 
2025/1/7 18:41,0.0567601313871793,1081630146560,1039723798528,99,32854,15822,yolov8n,0.051580844, llama3,44.59439182, nan,,3851242665984.03,8857548800.00 ,3842385117184.03,0.00 
2025/1/7 18:44,0.0566302802833728,1081630146560,1039321616384,98,33094,15582,yolov8n,0.051719818, qwen2.5,23.88232745, nan,,3628843890688.0,8857548800.00 ,3619986341888.0,0.00 
2025/1/7 18:47,0.0565912928438392,1081630146560,1039744417792,22,43220,5670,yolov8n,0.051843042, glm4,37.42426115, nan,,4503540824064.0,8857548800.00 ,4494683275264.0,0.00 
2025/1/7 18:50,0.0551602848734985,1081630146560,1039646904320,99,30442,18234,yolov8x,0.098167083, yolov8x,0.099042928, nan,,517094502400.00 ,258547251200.00 ,258547251200.00 ,0.00 
2025/1/7 18:54,0.0563447464260118,1081630146560,1039749234688,73,47756,920,yolov8x,0.097982479, yolov8m,0.067211266, nan,,337867673600.00 ,258547251200.00 ,79320422400.00 ,0.00 
2025/1/7 18:57,0.0565862773336226,1081630146560,1040285380608,58,47916,760,yolov8x,0.09777317, resnet18,0.011641012, nan,,260371284992.00 ,258547251200.00 ,1824033792.00 ,0.00 
2025/1/7 19:00,0.0563393889175165,1081630146560,1040265183232,74,47626,1050,yolov8x,0.097972854, resnet50,0.014671596, nan,,262680993792.00 ,258547251200.00 ,4133742592.00 ,0.00 
2025/1/7 19:03,0.0570193572309559,1081630146560,1040253202432,77,47500,1176,yolov8x,0.098085132, resnet152,0.025108423, nan,,270151196672.00 ,258547251200.00 ,11603945472.00 ,0.00 
2025/1/7 19:06,0.0571059404526803,1081630146560,1040360480768,83,47472,1204,yolov8x,0.098925526, vgg11,0.010229571, nan,,266156391424.00 ,258547251200.00 ,7609140224.00 ,0.00 
2025/1/7 19:09,0.0563801526677675,1081630146560,1040375398400,76,47826,850,yolov8x,0.098330388, densenet121,0.023484868, nan,,261444258304.00 ,258547251200.00 ,2897007104.00 ,0.00 
2025/1/7 19:12,0.0576443458208227,1081630146560,1039745245184,100,32492,16184,yolov8x,0.098670511, llama3,37.77151418, nan,,4100932368384.03,258547251200.00 ,3842385117184.03,0.00 
2025/1/7 19:15,0.0571745267165071,1081630146560,1039517982720,87,32724,15952,yolov8x,0.098826448, qwen2.5,25.54186235, nan,,3878533593088.0,258547251200.00 ,3619986341888.0,0.00 
2025/1/7 19:18,0.0580409819803209,1081630146560,1039727734784,99,33254,15422,yolov8x,0.099348949, glm4,35.9250874, nan,,4753230526464.0,258547251200.00 ,4494683275264.0,0.00 
