model_name,status,gpu_id,input_shape,input_type,base_mem_mib,post_load_mem_mib,peak_total_mem_mib,peak_warmup_mem_mib,peak_measure_mem_mib,steady_mem_mib,warmup_avg_latency_ms,measure_avg_latency_ms,measure_min_latency_ms,measure_max_latency_ms,warmup_runs,measure_runs,error,model_path
alexnet_bs128_224x224.onnx,ok,0,"[128, 3, 224, 224]",tensor(float),0,776,2840,2840,2092,2092,459.9904,22.6335,21.9943,23.4895,5,10,,/cyq/hase/model_zoo/models/alexnet_bs128_224x224.onnx
alexnet_bs32_224x224.onnx,ok,0,"[32, 3, 224, 224]",tensor(float),0,880,1922,1922,1428,1428,442.369,12.731,5.9226,35.106,5,10,,/cyq/hase/model_zoo/models/alexnet_bs32_224x224.onnx
alexnet_bs64_224x224.onnx,ok,0,"[64, 3, 224, 224]",tensor(float),0,720,2102,2102,1524,1524,464.704,37.1785,36.3476,38.467,5,10,,/cyq/hase/model_zoo/models/alexnet_bs64_224x224.onnx
densenet121_bs128_224x224.onnx,ok,0,"[128, 3, 224, 224]",tensor(float),0,398,5238,5238,5172,5172,931.4889,108.1568,106.8749,111.4245,5,10,,/cyq/hase/model_zoo/models/densenet121_bs128_224x224.onnx
densenet121_bs128_448x448.onnx,ok,0,"[128, 3, 448, 448]",tensor(float),0,430,18006,18006,17876,17876,1852.3224,410.7438,388.8363,419.0304,5,10,,/cyq/hase/model_zoo/models/densenet121_bs128_448x448.onnx
densenet121_bs32_224x224.onnx,ok,0,"[32, 3, 224, 224]",tensor(float),0,430,2130,2130,2004,2004,680.8294,31.7523,31.0717,32.3334,5,10,,/cyq/hase/model_zoo/models/densenet121_bs32_224x224.onnx
densenet121_bs32_448x448.onnx,ok,0,"[32, 3, 448, 448]",tensor(float),0,398,8324,8324,5172,5172,1010.2344,106.5452,106.1315,107.1117,5,10,,/cyq/hase/model_zoo/models/densenet121_bs32_448x448.onnx
densenet121_bs64_224x224.onnx,ok,0,"[64, 3, 224, 224]",tensor(float),0,430,3456,3456,3092,3092,755.4285,73.3956,66.7872,76.4863,5,10,,/cyq/hase/model_zoo/models/densenet121_bs64_224x224.onnx
densenet121_bs64_448x448.onnx,ok,0,"[64, 3, 448, 448]",tensor(float),0,398,11540,11540,9396,9396,1303.9497,208.8905,201.5218,225.2496,5,10,,/cyq/hase/model_zoo/models/densenet121_bs64_448x448.onnx
densenet169_bs128_224x224.onnx,ok,0,"[128, 3, 224, 224]",tensor(float),0,430,5320,5320,5204,5204,1106.2873,148.6387,130.9314,152.3861,5,10,,/cyq/hase/model_zoo/models/densenet169_bs128_224x224.onnx
