model1,averagetime1,model2,averagetime2,model3,averagetime3
yolov8n,0.054753114,nan,0,nan,0
yolov8x,0.060485162,nan,0,nan,0
yolov8m,0.057315248,nan,0,nan,0
resnet18,0.012753275,nan,0,nan,0
resnet50,0.017401139,nan,0,nan,0
resnet152,0.032696928,nan,0,nan,0
vgg11,0.009973645,nan,0,nan,0
vgg16,0.010493302,nan,0,nan,0
vgg19,0.010795813,nan,0,nan,0
densenet121,0.030520521,nan,0,nan,0
densenet169,0.036801938,nan,0,nan,0
densenet201,0.04168381,nan,0,nan,0
llama3,18.97077145,nan,0,nan,0
qwen2.5,8.815430522,nan,0,nan,0
glm4,21.69678712,nan,0,nan,0
yolov8n,0.062243579,yolov8n,0.062678406,nan,0
yolov8n,0.060861247,yolov8x,0.066928401,nan,0
yolov8n,0.057683091,yolov8m,0.060086097,nan,0
yolov8n,0.060013573,resnet18,0.013091997,nan,0
yolov8n,0.059852517,resnet50,0.017448598,nan,0
yolov8n,0.056972714,resnet152,0.034019396,nan,0
yolov8n,0.056221198,vgg11,0.010415147,nan,0
yolov8n,0.056868256,vgg16,0.010957188,nan,0
yolov8n,0.057070566,vgg19,0.011180233,nan,0
yolov8n,0.056068306,densenet121,0.030319969,nan,0
yolov8n,0.056510223,densenet169,0.039130705,nan,0
yolov8n,0.055757698,densenet201,0.043759212,nan,0
yolov8n,0.056699917,llama3,19.70408678,nan,0
yolov8n,0.061539739,qwen2.5,8.761565674,nan,0
yolov8n,0.057464832,glm4,21.54105514,nan,0
yolov8x,0.062279151,yolov8x,0.062252614,nan,0
yolov8x,0.063837556,yolov8m,0.061132378,nan,0
yolov8x,0.065391085,resnet18,0.013024652,nan,0
yolov8x,0.064262724,resnet50,0.01782633,nan,0
yolov8x,0.062686018,resnet152,0.034232949,nan,0
yolov8x,0.062492365,vgg11,0.010402199,nan,0
yolov8x,0.061535162,vgg16,0.01082694,nan,0
yolov8x,0.061269709,vgg19,0.011262664,nan,0
yolov8x,0.061368259,densenet121,0.029481025,nan,0
yolov8x,0.061223419,densenet169,0.039043685,nan,0
yolov8x,0.061120231,densenet201,0.044197341,nan,0
yolov8x,0.067376916,llama3,19.00470471,nan,0
yolov8x,0.08977268,qwen2.5,18.5106282,nan,0
